Costumer_Key;Altf_Key;Fisrt_Name;Last_Name;Full_Name;Gender;First_Order;City
11000;AW00011000;Jon;Yang;Jon Yang;Male;19/01/2020;Rockhampton
11001;AW00011001;Eugene;Huang;Eugene Huang;Male;15/01/2020;Seaford
11002;AW00011002;Ruben;Torres;Ruben Torres;Male;07/01/2020;Hobart
11003;AW00011003;Christy;Zhu;Christy Zhu;Female;29/12/2019;North Ryde
11004;AW00011004;Elizabeth;Johnson;Elizabeth Johnson;Female;23/01/2020;Wollongong
11005;AW00011005;Julio;Ruiz;Julio Ruiz;Male;30/12/2019;East Brisbane
11006;AW00011006;Janet;Alvarez;Janet Alvarez;Female;24/01/2020;Matraville
11007;AW00011007;Marco;Mehta;Marco Mehta;Male;09/01/2020;Warrnambool
11008;AW00011008;Rob;Verhoff;Rob Verhoff;Female;25/01/2020;Bendigo
11009;AW00011009;Shannon;Carlson;Shannon Carlson;Male;27/01/2020;Hervey Bay
11010;AW00011010;Jacquelyn;Suarez;Jacquelyn Suarez;Female;14/01/2020;East Brisbane
11011;AW00011011;Curtis;Lu;Curtis Lu;Male;30/12/2019;East Brisbane
11012;AW00011012;Lauren;Walker;Lauren Walker;Female;16/03/2022;Bremerton
11013;AW00011013;Ian;Jenkins;Ian Jenkins;Male;13/04/2022;Lebanon
11014;AW00011014;Sydney;Bennett;Sydney Bennett;Female;23/03/2022;Redmond
11015;AW00011015;Chloe;Young;Chloe Young;Female;18/01/2022;Burbank
11016;AW00011016;Wyatt;Hill;Wyatt Hill;Male;09/02/2022;Imperial Beach
11017;AW00011017;Shannon;Wang;Shannon Wang;Female;12/01/2020;Sunbury
11018;AW00011018;Clarence;Rai;Clarence Rai;Male;17/01/2020;Bendigo
11019;AW00011019;Luke;Lal;Luke Lal;Male;12/02/2022;Langley
11020;AW00011020;Jordan;King;Jordan King;Male;29/12/2021;Metchosin
11021;AW00011021;Destiny;Wilson;Destiny Wilson;Female;23/01/2022;Beaverton
11022;AW00011022;Ethan;Zhang;Ethan Zhang;Male;20/01/2022;Bellingham
11023;AW00011023;Seth;Edwards;Seth Edwards;Male;17/02/2022;Bellflower
11024;AW00011024;Russell;Xie;Russell Xie;Male;27/06/2022;Concord
11025;AW00011025;Alejandro;Beck;Alejandro Beck;Male;06/01/2020;Hawthorne
11026;AW00011026;Harold;Sai;Harold Sai;Male;23/01/2020;Goulburn
11027;AW00011027;Jessie;Zhao;Jessie Zhao;Male;16/01/2020;Warrnambool
11028;AW00011028;Jill;Jimenez;Jill Jimenez;Female;26/01/2020;St. Leonards
11029;AW00011029;Jimmy;Moreno;Jimmy Moreno;Male;19/01/2020;Bendigo
11030;AW00011030;Bethany;Yuan;Bethany Yuan;Female;05/02/2020;Cloverdale
11031;AW00011031;Theresa;Ramos;Theresa Ramos;Female;01/02/2020;Matraville
11032;AW00011032;Denise;Stone;Denise Stone;Female;18/02/2020;Melbourne
11033;AW00011033;Jaime;Nath;Jaime Nath;Male;15/02/2020;Milsons Point
11034;AW00011034;Ebony;Gonzalez;Ebony Gonzalez;Female;01/02/2020;North Sydney
11035;AW00011035;Wendy;Dominguez;Wendy Dominguez;Female;06/02/2020;Cranbourne
11036;AW00011036;Jennifer;Russell;Jennifer Russell;Female;22/01/2022;National City
11037;AW00011037;Chloe;Garcia;Chloe Garcia;Female;20/01/2022;Cliffside
11038;AW00011038;Diana;Hernandez;Diana Hernandez;Female;07/02/2020;Lavender Bay
11039;AW00011039;Marc;Martin;Marc Martin;Male;07/02/2020;Wollongong
11040;AW00011040;Jesse;Murphy;Jesse Murphy;Male;03/04/2022;Tacoma
11041;AW00011041;Amanda;Carter;Amanda Carter;Female;14/01/2022;Glendale
11042;AW00011042;Megan;Sanchez;Megan Sanchez;Female;21/01/2022;Los Angeles
11043;AW00011043;Nathan;Simmons;Nathan Simmons;Male;08/05/2022;Glendale
11044;AW00011044;Adam;Flores;Adam Flores;Male;28/02/2020;Hervey Bay
11045;AW00011045;Leonard;Nara;Leonard Nara;Male;10/04/2022;Matraville
11046;AW00011046;Christine;Yuan;Christine Yuan;Female;06/02/2020;Lavender Bay
11047;AW00011047;Jaclyn;Lu;Jaclyn Lu;Female;03/02/2020;Geelong
11048;AW00011048;Jeremy;Powell;Jeremy Powell;Male;10/02/2020;Sunbury
11049;AW00011049;Carol;Rai;Carol Rai;Female;09/03/2022;Chula Vista
11050;AW00011050;Alan;Zheng;Alan Zheng;Male;20/02/2020;Hobart
11051;AW00011051;Daniel;Johnson;Daniel Johnson;Male;29/12/2022;Caloundra
11052;AW00011052;Heidi;Lopez;Heidi Lopez;Female;17/02/2020;Matraville
11053;AW00011053;Ana;Price;Ana Price;Female;17/01/2022;San Diego
11054;AW00011054;Deanna;Munoz;Deanna Munoz;Female;03/02/2020;Geelong
11055;AW00011055;Gilbert;Raje;Gilbert Raje;Male;31/01/2020;East Brisbane
11056;AW00011056;Michele;Nath;Michele Nath;Female;26/02/2020;Newcastle
11057;AW00011057;Carl;Andersen;Carl Andersen;Male;22/02/2020;Lane Cove
11058;AW00011058;Marc;Diaz;Marc Diaz;Male;09/03/2020;Findon
11059;AW00011059;Ashlee;Andersen;Ashlee Andersen;Female;18/02/2022;Townsville
11060;AW00011060;Jon;Zhou;Jon Zhou;Male;19/03/2020;Warrnambool
11061;AW00011061;Todd;Gao;Todd Gao;Male;13/03/2020;Gold Coast
11062;AW00011062;Noah;Powell;Noah Powell;Male;07/01/2022;Portland
11063;AW00011063;Angela;Murphy;Angela Murphy;Female;12/01/2022;Redmond
11064;AW00011064;Chase;Reed;Chase Reed;Male;25/01/2022;Downey
11065;AW00011065;Jessica;Henderson;Jessica Henderson;Female;10/02/2022;La Jolla
11066;AW00011066;Grace;Butler;Grace Butler;Female;31/05/2022;Lebanon
11067;AW00011067;Caleb;Carter;Caleb Carter;Male;18/08/2022;Port Orchard
11068;AW00011068;Tiffany;Liang;Tiffany Liang;Female;30/04/2022;Warrnambool
11069;AW00011069;Carolyn;Navarro;Carolyn Navarro;Female;17/04/2020;Gold Coast
11070;AW00011070;Willie;Raji;Willie Raji;Male;28/04/2020;Sunbury
11071;AW00011071;Linda;Serrano;Linda Serrano;Female;01/03/2022;Hawthorne
11072;AW00011072;Casey;Luo;Casey Luo;Female;31/03/2020;St. Leonards
11073;AW00011073;Amy;Ye;Amy Ye;Female;23/03/2022;Springwood
11074;AW00011074;Levi;Arun;Levi Arun;Male;23/03/2022;Cloverdale
11075;AW00011075;Felicia;Jimenez;Felicia Jimenez;Female;28/04/2020;Bendigo
11076;AW00011076;Blake;Anderson;Blake Anderson;Male;21/04/2020;Wollongong
11077;AW00011077;Leah;Ye;Leah Ye;Female;15/04/2020;Melton
11078;AW00011078;Gina;Martin;Gina Martin;Female;15/02/2022;Cliffside
11079;AW00011079;Donald;Gonzalez;Donald Gonzalez;Male;15/03/2022;Geelong
11080;AW00011080;Damien;Chander;Damien Chander;Male;10/04/2020;Perth
11081;AW00011081;Savannah;Baker;Savannah Baker;Female;12/02/2022;Concord
11082;AW00011082;Angela;Butler;Angela Butler;Female;22/01/2022;Fremont
11083;AW00011083;Alyssa;Cox;Alyssa Cox;Female;06/01/2022;Lincoln Acres
11084;AW00011084;Lucas;Phillips;Lucas Phillips;Male;04/01/2022;Lebanon
11085;AW00011085;Emily;Johnson;Emily Johnson;Female;06/12/2022;Newport Beach
11086;AW00011086;Ryan;Brown;Ryan Brown;Male;02/07/2022;Santa Monica
11087;AW00011087;Tamara;Liang;Tamara Liang;Female;25/02/2022;Chula Vista
